Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
122-1525-ND,XILINX INC,XC3S250E-4VQG100C,,1,0,0,IC SPARTAN-3E FPGA 250K 100VQFP,,RoHS Compliant,Lead free,Unaffected Aug-2011
122-1288-5-ND,XILINX INC,XCF04SVOG20C,,1,0,0,IC PROM SRL FOR 4M GATE 20-TSSOP,,RoHS Compliant,Lead free,Unaffected Aug-2011
535-10208-1-ND,ABRACON CORPORATION (VA),ABLS-6.000MHZ-B4-T,,1,0,0,CRYSTAL 6.000 MHZ 18PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2011
631-1060-1-ND,FOX ELECTRONICS (VA),FXO-HC735-50,,1,0,0,OSCILLATOR 50.0 MHZ 3.3V SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2011
AP1117E33GDICT-ND,DIODES INC (VA),AP1117E33G-13,,1,0,0,IC REG LDO 1.0A 3.3V SOT-223,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
1016-1675-ND,EXAR CORPORATION,SPX1117M3-L-2-5,,1,0,0,IC REG LDO 2.5V 800MA SOT223-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
AP1117EGDICT-ND,DIODES INC (VA),AP1117EG-13,,1,0,0,IC REG LDO 1.0A ADJ VOLT SOT-223,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
AT45DB041D-SU-ND,ATMEL,AT45DB041D-SU,,1,0,0,IC FLASH 4MBIT 66MHZ 8SOIC,,RoHS Compliant,Lead free,Unaffected Sep-2011
768-1010-1-ND,FTDI (VA),FT2232D-REEL,,1,0,0,IC USB FS DUAL UART/FIFO 48-LQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
AZ23C3V6-FDICT-ND,DIODES INC (VA),AZ23C3V6-7-F,,24,0,0,DIODE ZENER DUAL 3.6V SOT23-3,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-51GRCT-ND,YAGEO (VA),RC0603JR-0751RL,,48,0,0,RES 51 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
490-1532-2-ND,MURATA ELECTRONICS,GRM188R71C104KA01D,,20,0,0,CAP CER 0.1UF 16V 10% X7R 0603,Minimum / Multiple of 4000,RoHS Compliant,Lead free,Unaffected Jul-2011
311-0.0GRCT-ND,YAGEO (VA),RC0603JR-070RL,,3,0,0,RES 0.0 OHM 1/10W 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-1.5KGRCT-ND,YAGEO (VA),RC0603JR-071K5L,,3,0,0,RES 1.5K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-100GRCT-ND,YAGEO (VA),RC0603JR-07100RL,,4,0,0,RES 100 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-10KGRCT-ND,YAGEO (VA),RC0603JR-0710KL,,2,0,0,RES 10K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-10GRCT-ND,YAGEO (VA),RC0603JR-0710RL,,48,0,0,RES 10 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
445-1371-1-ND,TDK CORPORATION (VA),C2012Y5V1A106Z,,3,0,0,CAP CER 10UF 10V Y5V 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
445-1271-1-ND,TDK CORPORATION (VA),C1608C0G1H150J,,2,0,0,CAP CER 15PF 50V 5% NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
311-470GRCT-ND,YAGEO (VA),RC0603JR-07470RL,,1,0,0,RES 470 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-300GRCT-ND,YAGEO (VA),RC0603JR-07300RL,,5,0,0,RES 300 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
445-1277-1-ND,TDK CORPORATION (VA),C1608C0G1H470J,,2,0,0,CAP CER 47PF 50V 5% NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
475-1410-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LG R971-KN-1-0-20-R18,,9,0,0,LED CHIPLED 570NM GREEN 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
ED2992CT-ND,ON SHORE TECHNOLOGY INC (VA),USB-M26FTR,,1,0,0,CONN USB MINI B R/A SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
709-1174-1-ND,JOHANSON DIELECTRICS INC (VA),500R15N330JV4T,,1,0,0,CAP CER 33PF 50V 5% NP0 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
311-39GRCT-ND,YAGEO (VA),RC0603JR-0739RL,,2,0,0,RES 39 OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
587-1779-1-ND,TAIYO YUDEN (VA),JMK212BJ476MG-T,,1,0,0,CAP CER 47UF 6.3V 20% X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
